sex,age,siblings of the passenger	,parents / children aboard the Titanic	,fare,Port of Embarkation	,class,who,alone,survived
male,21,0,0,"7,925",S,Third,man,TRUE,no
male,21,0,0,"7,925",S,Third,man,TRUE,no
female,27,0,0,"7,925",S,Third,woman,TRUE,yes
male,32,0,0,"7,925",S,Third,man,TRUE,no
male,28,2,0,"7,925",S,Third,man,FALSE,no
male,39,0,0,"7,925",S,Third,man,TRUE,yes
male,44,0,0,"7,925",S,Third,man,TRUE,yes
male,39,0,0,"7,925",S,Third,man,TRUE,no
male,32,0,0,"7,925",S,Third,man,TRUE,yes
male,32,0,0,"7,925",S,Third,man,TRUE,no
male,20,1,0,"7,925",S,Third,man,FALSE,yes
female,25,1,0,"7,925",S,Third,woman,FALSE,no
male,31,0,0,"7,925",S,Third,man,TRUE,yes
female,23,0,0,"7,925",S,Third,woman,TRUE,no
male,20,0,0,"7,925",S,Third,man,TRUE,no
female,15,0,0,"8,0292",Q,Third,child,TRUE,yes
male,35,0,0,"8,05",S,Third,man,TRUE,no
male,20,0,0,"8,05",S,Third,man,TRUE,no
male,21,0,0,"8,05",S,Third,man,TRUE,no
male,,0,0,"8,05",S,Third,man,TRUE,no
male,,0,0,"8,05",S,Third,man,TRUE,no
male,,0,0,"8,05",S,Third,man,TRUE,no
male,24,0,0,"8,05",S,Third,man,TRUE,no
male,29,0,0,"8,05",S,Third,man,TRUE,no
male,,0,0,"8,05",S,Third,man,TRUE,no
male,22,0,0,"8,05",S,Third,man,TRUE,no
male,,0,0,"8,05",S,Third,man,TRUE,no
male,"55,5",0,0,"8,05",S,Third,man,TRUE,no
male,30,0,0,"8,05",S,Third,man,TRUE,no
male,18,0,0,"8,05",S,Third,man,TRUE,yes
male,16,0,0,"8,05",S,Third,man,TRUE,yes
male,51,0,0,"8,05",S,Third,man,TRUE,no
male,19,0,0,"8,05",S,Third,man,TRUE,yes
male,,0,0,"8,05",S,Third,man,TRUE,no
male,45,0,0,"8,05",S,Third,man,TRUE,yes
male,19,0,0,"8,05",S,Third,man,TRUE,no
male,26,0,0,"8,05",S,Third,man,TRUE,no
female,,0,0,"8,05",S,Third,woman,TRUE,no
male,32,0,0,"8,05",S,Third,man,TRUE,yes
male,,0,0,"8,05",S,Third,man,TRUE,no
male,34,0,0,"8,05",S,Third,man,TRUE,no
male,,0,0,"8,05",S,Third,man,TRUE,no
male,50,0,0,"8,05",S,Third,man,TRUE,no
male,30,0,0,"8,05",S,Third,man,TRUE,no
male,21,0,0,"8,05",S,Third,man,TRUE,no
male,,0,0,"8,05",S,Third,man,TRUE,no
male,,0,0,"8,05",S,Third,man,TRUE,no
female,,0,0,"8,05",S,Third,woman,TRUE,no
male,16,0,0,"8,05",S,Third,man,TRUE,no
male,22,0,0,"8,05",S,Third,man,TRUE,no
male,,0,0,"8,05",S,Third,man,TRUE,no
male,44,0,0,"8,05",S,Third,man,TRUE,no
male,35,0,0,"8,05",S,Third,man,TRUE,no
male,43,0,0,"8,05",S,Third,man,TRUE,no
male,"24,5",0,0,"8,05",S,Third,man,TRUE,no
male,44,0,0,"8,05",S,Third,man,TRUE,no
male,34,0,0,"8,05",S,Third,man,TRUE,no
male,"30,5",0,0,"8,05",S,Third,man,TRUE,no
male,,0,0,"8,05",S,Third,man,TRUE,no
male,,0,0,"8,1125",S,Third,man,TRUE,yes
female,,0,0,"8,1375",Q,Third,woman,TRUE,no
male,19,0,0,"8,1583",S,Third,man,TRUE,no
male,18,0,0,"8,3",S,Third,man,TRUE,no
male,32,0,0,"8,3625",S,Third,man,TRUE,no
male,42,0,1,"8,4042",S,Third,man,FALSE,no
male,21,0,0,"8,4333",S,Third,man,TRUE,no
male,,0,0,"8,4583",Q,Third,man,TRUE,no
male,"0,42",0,1,"8,5167",C,Third,child,FALSE,yes
male,33,0,0,"8,6542",S,Third,man,TRUE,no
male,26,2,0,"8,6625",S,Third,man,FALSE,no
male,,0,0,"8,6625",S,Third,man,TRUE,no
male,17,0,0,"8,6625",S,Third,man,TRUE,no
male,33,0,0,"8,6625",C,Third,man,TRUE,no
male,42,0,0,"8,6625",S,Third,man,TRUE,no
female,20,0,0,"8,6625",S,Third,woman,TRUE,no
male,38,0,0,"8,6625",S,Third,man,TRUE,no
male,17,0,0,"8,6625",S,Third,man,TRUE,no
female,30,0,0,"8,6625",S,Third,woman,TRUE,no
male,20,0,0,"8,6625",S,Third,man,TRUE,no
male,27,0,0,"8,6625",S,Third,man,TRUE,yes
male,21,0,0,"8,6625",S,Third,man,TRUE,no
male,17,0,0,"8,6625",S,Third,man,TRUE,no
female,31,0,0,"8,6833",S,Third,woman,TRUE,yes
male,,0,0,"8,7125",C,Third,man,TRUE,no
female,24,0,0,"8,85",S,Third,woman,TRUE,no
male,,0,0,"8,98",S,Second,man,TRUE,no
male,22,0,0,9,S,Third,man,TRUE,no
male,47,0,0,9,S,Third,man,TRUE,no
male,16,0,0,"9,2167",S,Third,man,TRUE,no
male,23,0,0,"9,225",S,Third,man,TRUE,no
male,20,0,0,"9,225",S,Third,man,TRUE,no
male,22,0,0,"9,35",S,Third,man,TRUE,no
female,18,0,1,"9,35",S,Third,woman,FALSE,yes
female,40,1,0,"9,475",S,Third,woman,FALSE,no
male,29,0,0,"9,4833",S,Third,man,TRUE,no
male,29,0,0,"9,5",S,Third,man,TRUE,yes
male,28,0,0,"9,5",S,Third,man,TRUE,no
male,16,0,0,"9,5",S,Third,man,TRUE,no
male,30,0,0,"9,5",S,Third,man,TRUE,yes
male,28,0,0,"9,5",S,Third,man,TRUE,no
male,20,0,0,"9,5",S,Third,man,TRUE,no
male,33,0,0,"9,5",S,Third,man,TRUE,no
male,24,0,0,"9,5",S,Third,man,TRUE,no
male,,0,0,"9,5",S,Third,man,TRUE,no
female,63,0,0,"9,5875",S,Third,woman,TRUE,yes
female,37,0,0,"9,5875",S,Third,woman,TRUE,no
female,20,1,0,"9,825",S,Third,woman,FALSE,no
female,21,1,0,"9,825",S,Third,woman,FALSE,no
female,22,0,0,"9,8375",S,Third,woman,TRUE,no
female,18,0,0,"9,8417",S,Third,woman,TRUE,yes
male,20,0,0,"9,8458",S,Third,man,TRUE,no
male,19,0,0,"10,1708",S,Third,man,TRUE,no
female,2,0,1,"10,4625",S,Third,child,FALSE,no
female,29,1,1,"10,4625",S,Third,woman,FALSE,no
male,66,0,0,"10,5",S,Second,man,TRUE,no
female,21,0,0,"10,5",S,Second,woman,TRUE,yes
female,29,0,0,"10,5",S,Second,woman,TRUE,yes
male,32,0,0,"10,5",S,Second,man,TRUE,no
female,17,0,0,"10,5",S,Second,woman,TRUE,yes
male,30,0,0,"10,5",S,Second,man,TRUE,no
male,19,0,0,"10,5",S,Second,man,TRUE,yes
male,24,0,0,"10,5",S,Second,man,TRUE,no
male,19,0,0,"10,5",S,Second,man,TRUE,no
male,29,0,0,"10,5",S,Second,man,TRUE,no
male,36,0,0,"10,5",S,Second,man,TRUE,no
male,23,0,0,"10,5",S,Second,man,TRUE,no
male,31,0,0,"10,5",S,Second,man,TRUE,no
female,50,0,0,"10,5",S,Second,woman,TRUE,yes
female,34,0,0,"10,5",S,Second,woman,TRUE,yes
female,50,0,0,"10,5",S,Second,woman,TRUE,yes
male,62,0,0,"10,5",S,Second,man,TRUE,yes
male,26,0,0,"10,5",S,Second,man,TRUE,no
male,70,0,0,"10,5",S,Second,man,TRUE,no
female,27,0,0,"10,5",S,Second,woman,TRUE,yes
female,57,0,0,"10,5",S,Second,woman,TRUE,no
male,35,0,0,"10,5",S,Second,man,TRUE,no
male,16,0,0,"10,5",S,Second,man,TRUE,no
male,28,0,0,"10,5",S,Second,man,TRUE,no
female,22,0,0,"10,5167",S,Third,woman,TRUE,no
female,27,0,2,"11,1333",S,Third,woman,FALSE,yes
female,1,1,1,"11,1333",S,Third,child,FALSE,yes
male,4,1,1,"11,1333",S,Third,child,FALSE,yes
female,14,1,0,"11,2417",C,Third,child,FALSE,yes
male,12,1,0,"11,2417",C,Third,child,FALSE,yes
male,18,0,0,"11,5",S,Second,man,TRUE,no
male,23,2,1,"11,5",S,Second,man,FALSE,no
male,18,0,0,"11,5",S,Second,man,TRUE,no
male,21,1,0,"11,5",S,Second,man,FALSE,no
female,17,0,0,12,C,Second,woman,TRUE,yes
male,33,0,0,"12,275",S,Second,man,TRUE,no
female,2,0,1,"12,2875",S,Third,child,FALSE,yes
female,,0,0,"12,35",Q,Second,woman,TRUE,yes
female,30,0,0,"12,35",Q,Second,woman,TRUE,yes
male,57,0,0,"12,35",Q,Second,man,TRUE,no
female,30,0,0,"12,475",S,Third,woman,TRUE,yes
male,6,0,1,"12,475",S,Third,child,FALSE,yes
female,5,0,0,"12,475",S,Third,child,TRUE,yes
female,27,0,1,"12,475",S,Third,woman,FALSE,yes
male,51,0,0,"12,525",S,Second,man,TRUE,no
female,28,0,0,"12,65",S,Second,woman,TRUE,yes
male,36,0,0,"12,875",C,Second,man,TRUE,no
male,,0,0,13,S,Second,man,TRUE,yes
male,34,0,0,13,S,Second,man,TRUE,yes
female,"32,5",0,0,13,S,Second,woman,TRUE,yes
male,25,0,0,13,S,Second,man,TRUE,no
male,42,0,0,13,S,Second,man,TRUE,no
male,30,0,0,13,S,Second,man,TRUE,no
female,32,0,0,13,S,Second,woman,TRUE,yes
male,19,0,0,13,S,Second,man,TRUE,no
female,24,0,0,13,S,Second,woman,TRUE,no
male,30,0,0,13,S,Second,man,TRUE,no
male,27,0,0,13,S,Second,man,TRUE,no
male,18,0,0,13,S,Second,man,TRUE,no
male,42,0,0,13,S,Second,man,TRUE,yes
female,36,0,0,13,S,Second,woman,TRUE,yes
male,28,0,0,13,S,Second,man,TRUE,no
male,25,0,0,13,S,Second,man,TRUE,no
male,36,0,0,13,S,Second,man,TRUE,no
female,24,0,0,13,S,Second,woman,TRUE,yes
female,40,0,0,13,S,Second,woman,TRUE,yes
female,38,0,0,13,S,Second,woman,TRUE,no
female,36,0,0,13,S,Second,woman,TRUE,yes
female,18,0,2,13,S,Second,woman,FALSE,yes
male,30,0,0,13,S,Second,man,TRUE,no
female,28,0,0,13,S,Second,woman,TRUE,yes
male,48,0,0,13,S,Second,man,TRUE,no
female,34,0,0,13,S,Second,woman,TRUE,yes
female,28,0,0,13,S,Second,woman,TRUE,yes
male,23,0,0,13,S,Second,man,TRUE,no
male,25,0,0,13,S,Second,man,TRUE,no
male,31,0,0,13,S,Second,man,TRUE,yes
male,52,0,0,13,S,Second,man,TRUE,no
male,34,0,0,13,S,Second,man,TRUE,no
male,50,0,0,13,S,Second,man,TRUE,no
male,23,0,0,13,S,Second,man,TRUE,no
male,23,0,0,13,S,Second,man,TRUE,no
female,30,0,0,13,S,Second,woman,TRUE,yes
male,39,0,0,13,S,Second,man,TRUE,no
male,34,0,0,13,S,Second,man,TRUE,no
male,39,0,0,13,S,Second,man,TRUE,no
male,24,0,0,13,S,Second,man,TRUE,no
female,42,0,0,13,S,Second,woman,TRUE,yes
male,27,0,0,13,S,Second,man,TRUE,no
female,4,0,1,"13,4167",C,Third,child,FALSE,yes
male,59,0,0,"13,5",S,Second,man,TRUE,no
male,28,0,0,"13,5",S,Second,man,TRUE,no
male,52,0,0,"13,5",S,Second,man,TRUE,no
female,45,0,0,"13,5",S,Second,woman,TRUE,yes
female,23,0,0,"13,7917",C,Second,woman,TRUE,yes
female,27,1,0,"13,8583",C,Second,woman,FALSE,yes
male,,0,0,"13,8625",C,Second,man,TRUE,yes
male,54,0,0,14,S,Second,man,TRUE,no
male,,0,0,14,S,Second,man,TRUE,no
male,41,2,0,"14,1083",S,Third,man,FALSE,no
female,28,1,1,"14,4",S,Third,woman,FALSE,no
male,34,1,1,"14,4",S,Third,man,FALSE,no
male,26,1,0,"14,4542",C,Third,man,FALSE,no
female,"14,5",1,0,"14,4542",C,Third,child,FALSE,no
female,,1,0,"14,4542",C,Third,woman,FALSE,no
female,45,0,1,"14,4542",C,Third,woman,FALSE,no
male,27,1,0,"14,4542",C,Third,man,FALSE,no
female,18,0,1,"14,4542",C,Third,woman,FALSE,no
female,15,1,0,"14,4542",C,Third,child,FALSE,yes
female,17,0,0,"14,4583",C,Third,woman,TRUE,no
male,,0,0,"14,4583",C,Third,man,TRUE,no
female,,1,0,"14,4583",C,Third,woman,FALSE,no
female,47,1,0,"14,5",S,Third,woman,FALSE,no
male,"40,5",0,2,"14,5",S,Third,man,FALSE,no
female,24,0,2,"14,5",S,Second,woman,FALSE,yes
male,,0,0,"14,5",S,Third,man,TRUE,no
male,19,0,0,"14,5",S,Third,man,TRUE,no
male,"0,67",1,1,"14,5",S,Second,child,FALSE,yes
male,,0,0,"14,5",S,Third,man,TRUE,no
male,47,0,0,15,S,Second,man,TRUE,no
male,23,0,0,"15,0458",C,Second,man,TRUE,no
male,,0,0,"15,05",C,Second,man,TRUE,no
male,,0,0,"15,1",S,Third,man,TRUE,no
male,,1,1,"15,2458",C,Third,man,FALSE,yes
female,,0,2,"15,2458",C,Third,woman,FALSE,no
female,29,0,2,"15,2458",C,Third,woman,FALSE,yes
male,,1,1,"15,2458",C,Third,man,FALSE,yes
female,9,1,1,"15,2458",C,Third,child,FALSE,no
male,,1,0,"15,5",Q,Third,man,FALSE,no
female,,1,0,"15,5",Q,Third,woman,FALSE,yes
male,40,1,1,"15,5",Q,Third,man,FALSE,no
female,,1,0,"15,5",Q,Third,woman,FALSE,yes
male,,1,0,"15,5",Q,Third,man,FALSE,no
female,,1,0,"15,5",Q,Third,woman,FALSE,yes
female,32,1,1,"15,5",Q,Third,woman,FALSE,no
male,,0,0,"15,5",Q,Third,man,TRUE,no
male,36,1,0,"15,55",S,Third,man,FALSE,no
female,1,0,2,"15,7417",C,Third,child,FALSE,yes
male,20,1,1,"15,7417",C,Third,man,FALSE,yes
female,40,0,0,"15,75",S,Second,woman,TRUE,yes
female,33,3,0,"15,85",S,Third,woman,FALSE,yes
female,24,1,0,"15,85",S,Third,woman,FALSE,yes
male,32,1,0,"15,85",S,Third,man,FALSE,no
male,28,1,0,"15,85",S,Third,man,FALSE,no
male,3,1,1,"15,9",S,Third,child,FALSE,yes
male,9,1,1,"15,9",S,Third,child,FALSE,yes
female,55,0,0,16,S,Second,woman,TRUE,yes
male,44,0,1,"16,1",S,Third,man,FALSE,no
male,30,1,0,"16,1",S,Third,man,FALSE,no
female,,1,0,"16,1",S,Third,woman,FALSE,yes
female,,1,0,"16,1",S,Third,woman,FALSE,yes
female,26,1,0,"16,1",S,Third,woman,FALSE,no
male,21,0,0,"16,1",S,Third,man,TRUE,no
male,,1,0,"16,1",S,Third,man,FALSE,no
male,"28,5",0,0,"16,1",S,Third,man,TRUE,no
male,24,1,0,"16,1",S,Third,man,FALSE,no
female,4,1,1,"16,7",S,Third,child,FALSE,yes
female,24,0,2,"16,7",S,Third,woman,FALSE,yes
female,36,1,0,"17,4",S,Third,woman,FALSE,yes
female,18,1,0,"17,8",S,Third,woman,FALSE,no
male,25,1,0,"17,8",S,Third,man,FALSE,no
female,31,1,0,18,S,Third,woman,FALSE,no
female,18,2,0,18,S,Third,woman,FALSE,no
male,16,2,0,18,S,Third,man,FALSE,no
male,3,1,1,"18,75",S,Second,child,FALSE,yes
female,24,2,3,"18,75",S,Second,woman,FALSE,yes
male,"0,83",1,1,"18,75",S,Second,child,FALSE,yes
male,26,0,0,"18,7875",C,Third,man,TRUE,yes
male,11,0,0,"18,7875",C,Third,child,TRUE,no
male,,0,0,19,S,Second,man,TRUE,no
female,5,2,1,"19,2583",C,Third,child,FALSE,yes
female,"0,75",2,1,"19,2583",C,Third,child,FALSE,yes
female,"0,75",2,1,"19,2583",C,Third,child,FALSE,yes
female,24,0,3,"19,2583",C,Third,woman,FALSE,yes
female,41,0,1,"19,5",S,Second,woman,FALSE,yes
female,13,0,1,"19,5",S,Second,child,FALSE,yes
